title,year_cleaned,mileage_cleaned,range_km_cleaned,months_to_eu_cleaned,owners_cleaned,has_condition_issue,has_warranty,trim_level,region,is_dealer,dealer_name,days_listed,price_cleaned,predicted_value,value_difference,url
Nissan Leaf,2018,104000.0,270.0,23.866666666666667,1.0,0,0.0,Ukjent,Annet,1,Vøyen Auto,0,102532.0,111362,8830,https://www.finn.no/mobility/item/452904969
Nissan Leaf,2015,89000.0,270.0,7.466666666666667,3.0,0,0.0,Ukjent,Annet,0,,0,39532.0,48278,8746,https://www.finn.no/mobility/item/449335996
Nissan Leaf,2022,50300.0,278.0,5.733333333333333,2.0,0,1.0,Ukjent,Vestland,1,Møller Bil Bruktbilsenter Bergen,0,174900.0,183589,8689,https://www.finn.no/mobility/item/451945542
Nissan Leaf,2016,182000.0,270.0,12.0,2.0,0,0.0,Ukjent,Vestfold/Telemark,1,Auksjonen.No AS,0,29432.0,38098,8666,https://www.finn.no/mobility/item/452832605
Nissan Leaf,2020,53714.0,385.0,6.7,1.0,0,0.0,Ukjent,Vestfold/Telemark,0,,0,169532.0,178116,8584,https://www.finn.no/mobility/item/448950023
Nissan Leaf,2018,72400.0,270.0,12.0,1.0,0,1.0,Ukjent,Nord-Norge,1,Biltrend Harstad AS,0,119000.0,127521,8521,https://www.finn.no/mobility/item/451921018
Nissan Leaf,2021,57232.0,270.0,13.566666666666666,1.0,0,1.0,Ukjent,Oslo/Akershus,1,Birger N. Haug AS Lillestrøm,0,149900.0,158356,8456,https://www.finn.no/mobility/item/448529309
Nissan Leaf,2018,72500.0,250.0,1.9,1.0,0,0.0,Tekna,Annet,0,,0,114147.0,122573,8426,https://www.finn.no/mobility/item/293259020
Nissan Leaf,2022,60000.0,385.0,12.0,2.0,0,1.0,Ukjent,Vestfold/Telemark,1,Øyans Bil Sandefjord AS,0,199900.0,208308,8408,https://www.finn.no/mobility/item/437981303
Nissan Leaf,2015,143000.0,110.0,10.866666666666667,1.0,0,0.0,Ukjent,Sørlandet,0,,0,33532.0,41897,8365,https://www.finn.no/mobility/item/453009232
Nissan Leaf,2013,183850.0,270.0,13.233333333333333,10.0,0,0.0,Ukjent,Annet,0,,0,16942.0,25303,8361,https://www.finn.no/mobility/item/452614221
Nissan Leaf,2023,11500.0,270.0,12.0,1.0,0,1.0,Ukjent,Annet,1,GOL AUTO AS,0,205000.0,213297,8297,https://www.finn.no/mobility/item/439396933
Nissan Leaf,2021,46000.0,270.0,12.0,1.0,0,1.0,Acenta,Trøndelag,1,Trøndelag Bil AS,0,159900.0,168137,8237,https://www.finn.no/mobility/item/447198450
Nissan Leaf,2018,93000.0,270.0,9.2,1.0,0,0.0,Tekna,Annet,1,Birger N. Haug AS avd Gardermoen Outlet,0,109900.0,118104,8204,https://www.finn.no/mobility/item/450293931
Nissan Leaf,2018,60000.0,270.0,12.0,1.0,0,1.0,Ukjent,Trøndelag,1,Bertel O. Steen Stjørdal,0,119000.0,127175,8175,https://www.finn.no/mobility/item/447074704
Nissan Leaf,2022,34000.0,284.0,12.0,1.0,0,1.0,Acenta,Annet,1,Auto 8-8 Ålesund AS,0,179000.0,187174,8174,https://www.finn.no/mobility/item/450892849
Nissan Leaf,2022,44959.0,278.0,8.333333333333334,1.0,0,1.0,Ukjent,Oslo/Akershus,1,Birger N. Haug AS Lillestrøm,0,179900.0,188008,8108,https://www.finn.no/mobility/item/442114719
Nissan Leaf,2020,74682.0,270.0,23.366666666666667,1.0,0,0.0,Ukjent,Annet,1,Birger N. Haug Outlet Rud,0,132900.0,140989,8089,https://www.finn.no/mobility/item/448035512
Nissan Leaf,2018,104200.0,270.0,12.0,2.0,0,1.0,Ukjent,Vestland,1,Kverneland Bil AS | Ford Åsane,0,109000.0,117079,8079,https://www.finn.no/mobility/item/451617666
Nissan Leaf,2019,141500.0,270.0,12.0,2.0,0,1.0,Ukjent,Rogaland,1,MACK AUTO AS,0,109000.0,117021,8021,https://www.finn.no/mobility/item/446114158
Nissan Leaf,2013,144000.0,50.0,12.033333333333331,4.0,0,0.0,Ukjent,Nord-Norge,0,,0,16942.0,24935,7993,https://www.finn.no/mobility/item/453351357
Nissan Leaf,2018,87000.0,270.0,12.0,2.0,0,1.0,Ukjent,Rogaland,1,SANDNES BRUKTBIL AS,0,119000.0,126838,7838,https://www.finn.no/mobility/item/453414947
Nissan Leaf,2018,100000.0,270.0,12.0,1.0,0,0.0,Tekna,Annet,1,Resale AS,0,109900.0,117731,7831,https://www.finn.no/mobility/item/450688659
Nissan Leaf,2021,72000.0,385.0,12.0,2.0,0,1.0,Ukjent,Østfold,1,Exotic Motors,0,179990.0,187801,7811,https://www.finn.no/mobility/item/450756656
Nissan Leaf,2016,85559.0,270.0,6.0,1.0,0,1.0,Ukjent,Annet,0,,0,49532.0,57295,7763,https://www.finn.no/mobility/item/450176397
Nissan Leaf,2022,24000.0,270.0,12.0,1.0,0,1.0,Tekna,Annet,1,Dream Car,0,189999.0,197760,7761,https://www.finn.no/mobility/item/444859580
Nissan Leaf,2019,52550.0,270.0,12.0,1.0,0,1.0,Ukjent,Annet,1,AUTOLINKS AS,0,134900.0,142635,7735,https://www.finn.no/mobility/item/450107986
Nissan Leaf,2020,44000.0,385.0,-24.53333333333333,1.0,0,1.0,Ukjent,Vestfold/Telemark,1,RS Bilsenter AS,0,173532.0,181213,7681,https://www.finn.no/mobility/item/452379736
Nissan Leaf,2013,98000.0,270.0,12.933333333333334,4.0,0,0.0,Ukjent,Rogaland,0,,0,22942.0,30605,7663,https://www.finn.no/mobility/item/449801341
Nissan Leaf,2021,55000.0,270.0,18.433333333333334,1.0,0,1.0,Ukjent,Vestland,0,,0,149434.0,157053,7619,https://www.finn.no/mobility/item/438114627
Nissan Leaf,2011,115745.0,270.0,12.0,1.0,0,0.0,Ukjent,Annet,1,Auksjonen.No AS,0,18942.0,26558,7616,https://www.finn.no/mobility/item/450641508
Nissan Leaf,2021,43000.0,385.0,12.566666666666666,4.0,0,0.0,Ukjent,Vestfold/Telemark,0,,0,179000.0,186603,7603,https://www.finn.no/mobility/item/436036800
Nissan Leaf,2015,75000.0,270.0,17.966666666666665,2.0,0,0.0,Ukjent,Annet,0,,0,52532.0,60093,7561,https://www.finn.no/mobility/item/450486981
Nissan Leaf,2018,71100.0,270.0,12.0,1.0,0,0.0,Ukjent,Oslo/Akershus,1,SEBIL AS,0,119990.0,127550,7560,https://www.finn.no/mobility/item/450477915
Nissan Leaf,2014,125300.0,140.0,-1.9,3.0,0,0.0,Ukjent,Vestland,0,,0,12942.0,20417,7475,https://www.finn.no/mobility/item/452967122
Nissan Leaf,2018,80925.0,240.0,23.53333333333333,2.0,0,0.0,Ukjent,Nord-Norge,0,,0,119532.0,126993,7461,https://www.finn.no/mobility/item/451797283
Nissan Leaf,2012,158000.0,65.0,6.966666666666667,2.0,0,0.0,Ukjent,Rogaland,0,,0,19942.0,27301,7359,https://www.finn.no/mobility/item/447059647
Nissan Leaf,2020,86000.0,385.0,2.333333333333333,2.0,0,0.0,Ukjent,Vestfold/Telemark,0,,0,169932.0,177291,7359,https://www.finn.no/mobility/item/446617108
Nissan Leaf,2022,28500.0,270.0,12.0,1.0,0,1.0,Ukjent,Oslo/Akershus,1,Rebil,0,189000.0,196351,7351,https://www.finn.no/mobility/item/452378889
Nissan Leaf,2015,80000.0,150.0,13.233333333333333,2.0,0,0.0,Tekna,Annet,0,,0,49532.0,56765,7233,https://www.finn.no/mobility/item/453011642
